央视频道,#genre#
中国教育4台,http://124.90.44.40:6060/010/2/00000001000000060000000000000632?virtualDomain=010.live_hls.zte.com
省内频道,#genre#
经济频道,http://124.90.44.40:6060/010/2/00000001000000060000000000000483?virtualDomain=010.live_hls.zte.com
浙江卫视,http://124.90.44.40:6060/010/2/00000001000000060000000000000392?virtualDomain=010.live_hls.zte.com		          
音乐调频,http://124.90.44.40:6060/010/2/00000001000000060000000000000484?virtualDomain=010.live_hls.zte.com
钱江频道,http://124.90.44.40:6060/010/2/00000001000000060000000000000571?virtualDomain=010.live_hls.zte.com
民生资讯,http://124.90.44.40:6060/010/2/00000001000000060000000000000488?virtualDomain=010.live_hls.zte.com
浙江经视,http://124.90.44.40:6060/010/2/00000001000000060000000000000572?virtualDomain=010.live_hls.zte.com
城市之声,http://124.90.44.40:6060/010/2/00000001000000060000000000000487?virtualDomain=010.live_hls.zte.com
教科影视,http://124.90.44.40:6060/010/2/00000001000000060000000000000576?virtualDomain=010.live_hls.zte.com
交通之声,http://124.90.44.40:6060/010/2/00000001000000060000000000000485?virtualDomain=010.live_hls.zte.com
浙江新闻,http://124.90.44.40:6060/010/2/00000001000000060000000000000579?virtualDomain=010.live_hls.zte.com		          
旅游之声,http://124.90.44.40:6060/010/2/00000001000000060000000000000486?virtualDomain=010.live_hls.zte.com
民生休闲高清,http://124.90.44.40:6060/010/2/00000001000000060000000000000578?virtualDomain=010.live_hls.zte.com
浙江新闻广播,http://124.90.44.40:6060/010/2/00000001000000060000000000000482?virtualDomain=010.live_hls.zte.com
浙江少儿高清    http://124.90.44.40:6060/010/2/00000001000000060000000000000580?virtualDomain=010.live_hls.zte.com		          
宁波综合高清,http://124.90.44.40:6060/010/2/00000001000000060000000000000600?virtualDomain=010.live_hls.zte.com
宁波生活高清,http://124.90.44.40:6060/010/2/00000001000000060000000000000789?virtualDomain=010.live_hls.zte.com
好易购1高清,http://124.90.44.40:6060/010/2/00000001000000060000000000000794?virtualDomain=010.live_hls.zte.com
宁波都市高清,http://124.90.44.40:6060/010/2/00000001000000060000000000000790?virtualDomain=010.live_hls.zte.com
宁波影视高清,http://124.90.44.40:6060/010/2/00000001000000060000000000000791?virtualDomain=010.live_hls.zte.com
衢州一套高清,http://124.90.44.40:6060/010/2/01000010000000060000000000002837?virtualDomain=010.live_hls.zte.com
杭州综合高清,http://124.90.44.40:6060/010/2/00000001000000060000000000000782?virtualDomain=010.live_hls.zte.com
衢州二套高清,http://124.90.44.40:6060/010/2/01000010000000060000000000002838?virtualDomain=010.live_hls.zte.com
西湖明珠高清,http://124.90.44.40:6060/010/2/00000001000000060000000000000783?virtualDomain=010.live_hls.zte.com
之江纪录高清,http://124.90.44.40:6060/010/2/01000010000000060000000000002844?virtualDomain=010.live_hls.zte.com
杭州生活高清,http://124.90.44.40:6060/010/2/00000001000000060000000000000784?virtualDomain=010.live_hls.zte.com
杭州影视高清,http://124.90.44.40:6060/010/2/00000001000000060000000000000785?virtualDomain=010.live_hls.zte.com
青少体育高清,http://124.90.44.40:6060/010/2/00000001000000060000000000000786?virtualDomain=010.live_hls.zte.com
绍兴一套高清,http://124.90.44.40:6060/010/2/00000001000000060000000000000496?virtualDomain=010.live_hls.zte.com
杭州导视高清,http://124.90.44.40:6060/010/2/00000001000000060000000000000787?virtualDomain=010.live_hls.zte.com
温州一套高清,http://124.90.44.40:6060/010/2/00000001000000060000000000000490?virtualDomain=010.live_hls.zte.com
香港省,#genre#
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰中文,http://zqh2333.top:2222/rtp/239.93.24.9:2192
凤凰中文,http://iptv.diyp.site/diyp_公众号【DIYP】.php?key=gat2&id=3
凤凰中文,http://cdn.163189.xyz/live/fhzw/stream.m3u8
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰资讯,http://zqh2333.top:2222/rtp/239.93.24.4:2191
凤凰资讯,http://iptv.diyp.site/diyp_公众号【DIYP】.php?key=gat2&id=1
凤凰资讯,http://cdn5.1678520.xyz:80/live/live2.1.php?id=fhzx
凤凰中文,http://hk.666230.xyz/Smartv.php?id=phoenixtv_hd
凤凰资讯,http://hk.666230.xyz/Smartv.php?id=phoenixinfo_hd
凤凰香港,http://hk.666230.xyz/Smartv.php?id=hkphoenix_twn
TVBJ1,http://hk.666230.xyz/公众号睡眼迷离的猫/tvbj1.php
翡翠台,http://hk.666230.xyz/Smartv.php?id=jade_twn
无线新闻台,http://hk.666230.xyz/Smartv.php?id=inews_twn
J2,http://hk.666230.xyz/Smartv.php?id=j2_twn
明珠台,http://hk.666230.xyz/Smartv.php?id=pearl_twn
华丽翡翠台,http://hk.666230.xyz/Smartv.php?id=Tvbjade
TVB星河,http://hk.666230.xyz/Smartv.php?id=Xinhe
千禧经典台,http://hk.666230.xyz/Smartv.php?id=Tvbclassic
ViuTV,http://hk.666230.xyz/Smartv.php?id=viu1_twn
ViuTV6,http://hk.666230.xyz/Smartv.php?id=viusix_twn
RHK 31,http://hk.666230.xyz/Smartv.php?id=rhk31_twn
RHK 32,http://hk.666230.xyz/Smartv.php?id=rhk32_twn
台湾省,#genre#
美亚电影台,http://hk.666230.xyz/Smartv.php?id=meiyamovie_twn
東森電影,http://hk.666230.xyz/Smartv1.php?id=ettvmovie
HBO_HD,http://hk.666230.xyz/Smartv.php?id=hbohd_twn
HBO强档,http://hk.666230.xyz/Smartv.php?id=hbohits_twn
HBO原创,http://hk.666230.xyz/Smartv.php?id=hbosignature_twn
